09/29/2018 10:34:31 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:35 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:38 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:42 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:45 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:50 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:55 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:34:58 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:01 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:04 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:07 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:11 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:14 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:16 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:18 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:24 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:28 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:32 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:36 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:39 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:44 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:48 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:53 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:35:57 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:00 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:03 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:06 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:14 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:19 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:21 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:24 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:29 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:33 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:36 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:40 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:42 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:45 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:50 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:54 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:36:57 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:01 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:05 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:12 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:15 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:18 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:20 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:24 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:27 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:30 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:33 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:36 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:39 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:42 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:46 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:50 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:53 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:37:57 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:02 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:05 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:09 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:14 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:17 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:21 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:27 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:31 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:35 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:40 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:43 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:47 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:49 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:53 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:56 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:38:59 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:03 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:05 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:13 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:16 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:20 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:23 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:27 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:32 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:35 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:39 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:44 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:48 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:52 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:55 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:39:59 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:02 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:06 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:13 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:15 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:19 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:22 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:27 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:31 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:35 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
