10/23/2018 09:10:44 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:47 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:50 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:53 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:55 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:10:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:01 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:04 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:05 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:07 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:08 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:09 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:12 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:14 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:15 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:16 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:18 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:20 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:22 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:26 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:28 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:29 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:33 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:44 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:48 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:50 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:51 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:53 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:54 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:55 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:11:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:01 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:04 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:05 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:07 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:09 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:10 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:14 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:16 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:17 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:20 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:22 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:26 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:28 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:31 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:36 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:37 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:40 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:44 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:48 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:53 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:54 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:56 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:12:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:01 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:02 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:05 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:08 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:11 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
